"","ka","ks","omega"
"184",0,0,NA
"185",0.00900925275133922,0,Inf
"186",0,0.0355913722655929,0
"187",0.00276930835769361,0,Inf
"188",0.00350878632932327,0,Inf
"189",0.00324676465527416,0,Inf
"190",0,0,NA
"191",0.00970904292855087,0,Inf
"192",0,0,NA
"193",0,0.0202559186036922,0
"194",0,0.00533838827037231,0
"195",0,0,NA
"196",0.0109593428538231,0.0188237211272658,0.58220915937544
"197",0.00288185235837507,0.010210233302757,0.282251372022703
"198",0.00487548652985651,0.0129688951269013,0.375936923087867
"199",0.00402189673091252,0.0170559820015744,0.23580563878065
"200",0.00638418365757158,0.0332395739836993,0.192065748517185
"201",0.00381681242753549,0.0143718558658725,0.265575473561416
"202",0.00714297862373822,0,Inf
"203",0.00297079957610888,0.0136097748044633,0.218284256631095
"204",0.01050029347308,0.0225163424414945,0.466340992119991
"205",0,0,NA
"206",0.00669860967657149,0.0174999088586679,0.382779689349846
"207",0.00386102304695516,0.00656552516415887,0.588075279648983
"208",0.0151085752799372,0,Inf
"209",0,0,NA
"210",0,0.0111911985155756,0
"211",0,0.0133859003785779,0
"212",0,0.0115192541773097,0
"213",0,0.0143073338640122,0
"214",0,0.047638792036554,0
"215",0,0,NA
"216",0.00985253553966617,0.0166001857624337,0.593519595543473
"217",0.0060976365469091,0,Inf
"218",0,0.0137544785358935,0
"219",0.010417043451421,0,Inf
"220",0.0174384323121759,0.0190457628095504,0.915606924571776
"221",0,0,NA
"222",0.00847477915688671,0.0153559917778966,0.551887450805052
"223",0,0,NA
"224",0,0,NA
"225",0,0.0331493739625372,0
"226",0,0,NA
"227",0,0,NA
"228",0.0184352679041638,0,Inf
"229",0,0,NA
"230",0,0,NA
"231",0,0,NA
"232",0,0,NA
"233",0,0,NA
"234",0,0.039898178347001,0
"235",0,0.058306149340144,0
"236",0,0.00491103642789137,0
"237",0.00179856309042474,0.00676017463431016,0.266052755693089
"238",0.00567887464211691,0.0272606994057393,0.208317276002145
"239",0.0064480982758611,0.00270705974787793,2.38195639417112
"240",0,0.0115601286417874,0
"241",0,0,NA
"242",0.0123463062951858,0.0303402142510669,0.406928777530029
"243",0.0152683619300409,0,Inf
"244",0,0.0101444895797829,0
"245",0,0,NA
"246",0.00196402352187299,-2.80046571261492e-06,-701.320324339588
"247",0,0.0132130586010178,0
"248",0,0,NA
"249",0.0228106859095316,0.0235176832976474,0.969937626118703
"250",0,0,NA
"251",0.00667953076193134,0.0381852143638004,0.174924532262507
"252",0,0,NA
"253",0.00825262476814901,0.0282856104944278,0.291760532083081
"254",0,0,NA
"255",0,0.0148324687531543,0
"256",0,0,NA
"257",0.00427353028922917,0.0072366400288749,0.590540675255004
"258",0.0220300905008837,0.0442193069973402,0.498200718120906
"259",0,0,NA
"260",0,0.0142263147726375,0
"261",0.00716858157320362,0.0288907384697973,0.248127322210809
"262",0,0.0398172689566637,0
"263",0.0384805205680642,0.0457736504743991,0.840669690296738
"264",0,0.0364864519994279,0
"265",0,0,NA
"266",0.00500167079917346,-6.64978989972917e-05,-75.2154710839386
"267",0.00757052050258027,0,Inf
"268",0.00620649574034473,0,Inf
"269",0,0.0210175262969663,0
"270",0.00749077680780845,0.01308633381064,0.572412175648307
"271",0.0136100317211029,0.0135253119141891,1.00626379690548
"272",0.0042826814294615,0.00789972073352631,0.542130737772268
"273",0.00886719915149826,0.0185007632437171,0.479288288525586
"274",0.00499179525718015,0.0145263140000226,0.343638121630332
"275",0.0151262590351869,0.0116181386781011,1.30195201264882
"276",0.00970904292855087,0,Inf
"277",0.0157562944976517,0,Inf
"278",0.00394511226495657,0.00858640357245822,0.459460381947446
"279",0,0.0136844541072486,0
"280",0,0.0159666920396354,0
"281",0,0.0127798817391147,0
"282",0,0,NA
"283",0.0078246317928132,0.0270665644758158,0.289088472968359
"284",0,0.0256311296304467,0
"285",0,0.0161518172613972,0
"286",0,0.0178851621312585,0
"287",0,0,NA
"288",0.00980423569418817,0,Inf
"289",0.00684942217908096,0.0131702205658364,0.520068904301298
"290",0.0038740686967201,0,Inf
"291",0,0.0255649480112944,0
"292",0.0228519388326464,0,Inf
"293",0.00890892165839695,0,Inf
"294",0.0118348720429524,0,Inf
"295",0,0.0114316827679897,0
"296",0,0.014422578215056,0
"297",0,0.0127236860602394,0
"298",0.0241010509089388,0,Inf
"299",0.00237740393655826,0.0058430646971994,0.406876195928099
"300",0.0104430696199446,0,Inf
"301",0.00851842065177939,0.0219913779487467,0.387352746682473
"302",0,0.00961657020694904,0
"303",0,0,NA
"304",0,0,NA
"305",0,0,NA
"306",0,0.0623473010491974,0
"307",0,0.00815485153549278,0
"308",0,0,NA
"309",0,0,NA
"310",0,0.0101344735757786,0
"311",0.0223442735279766,-0.000181387339123208,-123.18540883826
"312",0,0,NA
"313",0,0.0177692857048171,0
"314",0.0123463062951858,0,Inf
"315",0,0,NA
"316",0,0,NA
"317",0,0.0393111821330086,0
"318",0.0143894822750217,0,Inf
"319",0,0.0119098273303575,0
"320",0.00819690488783818,0.0643473919049166,0.127385192238256
"321",0.0232610751909888,-6.63921870624879e-06,-3503.58622304394
"322",0.0131571336259793,0,Inf
"323",0,0,NA
"324",0,0,NA
"325",0.00994088587948372,0.0125001398813507,0.795261970973207
"326",0,0,NA
"327",0,0.0282212199571769,0
"328",0,0,NA
"329",0,0.0255299119150464,0
"330",0.00677273834997591,0.0148535557799973,0.455967476763812
"331",0,0.0291910087457865,0
"332",0,0,NA
"333",0.00284495788883934,0.0294236410688859,0.0966895253438823
"334",0,0,NA
"335",0,0,NA
"336",0.00900925275133922,0,Inf
"337",0.00806469096494186,0.0301957599844097,0.267080244680237
"338",0,0,NA
"339",0.00886064683137133,0,Inf
"340",0,0.0277042464734293,0
"341",0.00970904292855087,0,Inf
"342",0.0197919964921859,0.0135569549867821,1.45991459818837
"343",0,0,NA
"344",0.00881080067490981,0,Inf
"345",0,0,NA
"346",0,0,NA
"347",0,0,NA
"348",0.00450020597464798,0.0214471228015681,0.209827957637233
"349",0,0.00735532761963437,0
"350",0.0229271394759822,-0.00039627526896077,-57.8565993686875
"351",0,0,NA
"352",0.00833352624260582,0,Inf
"353",0.0100003333533347,0.0654323429231052,0.152834713026964
"354",0,0,NA
"355",0.00540545805210784,0.00967579377206256,0.558657840322652
"356",0.00649359776340556,0,Inf
"357",0,0.0114338874125151,0
"358",0,0,NA
"359",0,0.0187077798885417,0
"360",0.00538638993245134,0.0204061154193574,0.263959593570747
"361",0,0.0333658517054688,0
"362",0,0,NA
"363",0,0.00784533783098759,0
"364",0,0,NA
"365",0,0,NA
"366",0.01344737505027,0.0142681320924591,0.942476209438596
"367",0,0,NA
"368",0,0,NA
"369",0,0,NA
"370",0.0136527253451337,0,Inf
"371",0.0156262717520523,0,Inf
"372",0.00616963742050483,0,Inf
"373",0,0.00583453862807074,0
"374",0,0,NA
"375",0,0,NA
"376",0,0.017609729751487,0
"377",0.0102476245134608,0,Inf
"378",0,0,NA
"379",0.00584364436822426,0.014072290467606,0.415258936111086
"380",0,0,NA
"381",0.00884297602090142,0.0245615688140955,0.36003302915352
"382",0,0,NA
"383",0,0.00563307827726812,0
"384",0,0,NA
"385",0,0.00812973727899181,0
"386",0,0.0786181440973975,0
"387",0.00215207268986631,-3.30194867819589e-06,-651.758370466908
"388",0,0,NA
"389",0,0,NA
"390",0.00887537496831968,-2.49858928311636e-05,-355.215442101388
"391",0,0.00907822159072816,0
"392",0.00701765905819179,0,Inf
"393",0,0,NA
"394",0,0,NA
"395",0,0,NA
"396",0,0,NA
"397",0,0,NA
"398",0.0145732189267364,0.0389697833586654,0.373962020589367
"399",0,0.0159773782107325,0
"400",0,0.00627134781522573,0
"401",0.00329904935424694,0,Inf
"402",0.00746499257528093,0.0245133997082857,0.304527020491479
"403",0,0.0238302478154123,0
"404",0.00689666106616788,0.0153498670456441,0.449297772134448
"405",0,0,NA
"406",0.0102044358156035,0.0228633655359794,0.446322559097657
"407",0,0.0208454022347627,0
"408",0.00482754879230021,0.0121418466275067,0.397595929219174
"409",0,0.0140274390858764,0
"410",0,0.0170323615629137,0
"411",0,0.00629907807950976,0
"412",0,0,NA
"413",0,0.0188162376782595,0
"414",0,0.0118295603965058,0
"415",0.00404860511630965,0.0160376475020562,0.252443827300143
"416",0,0.0153114311604628,0
"417",0,0.0086622537509923,0
"418",0,0.0194150366268069,0
"419",0,0,NA
"420",0,0,NA
"421",0,0,NA
"422",0,0.0194150366268069,0
"423",0,0,NA
"424",0,0,NA
"425",0.00642289048481967,0.0148203041050298,0.433384527017892
"426",0,0.0588826414087123,0
"427",0,0,NA
"428",0.00591909279346228,0.0293014691194307,0.202006690153879
"429",0.0275623512420291,0.0179031699316047,1.53952352277978
"430",0,0,NA
"431",0.00251663191287398,0.0151874209739548,0.165705021095406
"432",0,0.0082686711404101,0
"433",0,0,NA
"434",0,0,NA
"435",0.00486345111491105,0,Inf
"436",0,0.0524135340901896,0
"437",0.0127822618739389,0.0319538661966329,0.400022388379589
"438",0,0,NA
"439",0,0,NA
"440",0,0,NA
"441",0,0,NA
"442",0,0.0162680641019014,0
"443",0.00370205750044849,0,Inf
"444",0,0.00824513472195993,0
"445",0,0,NA
"446",0,0.013516233954447,0
"447",0,0.030369833048736,0
"448",0.0394356541052599,0.023726272252593,1.66210914573612
"449",0.0117652487050971,0,Inf
"450",0.0172430880355847,0,Inf
"451",0.00387436657465089,0.0185355007270047,0.209024111714784
"452",0,0,NA
"453",0,0,NA
"454",0,0,NA
"455",0.00504720994749243,0.0269131678926178,0.187536820920916
"456",0,0,NA
"457",0,0,NA
"458",0,0.0129695373108617,0
"459",0,0.00356372241662163,0
"460",0.0101013536587597,0,Inf
"461",0,0.0733936709143652,0
"462",0,0.0192695407362217,0
"463",0,0.0253530543211735,0
"464",0,0,NA
"465",0.0102044358156035,0,Inf
"466",0.0199196993261314,-0.00020565422388358,-96.8601517146952
"467",0.0128625114380364,-3.49335216199958e-05,-368.199678748504
"468",0.00262467794307187,0.00496137924111866,0.529021833549671
"469",0.0102044358156035,0.0538096084943191,0.189639659182446
"470",0,0,NA
"471",0,0.0101277566012578,0
"472",0,0.0142304645494177,0
"473",0.012316282881777,0.0274607617889834,0.448504778433276
"474",0,0,NA
"475",0,0,NA
"476",0.00705479075816,0.007084470484476,0.99581059355374
"477",0,0,NA
"478",0.011838859378417,0.0341571468915323,0.346599773570431
"479",0,0.0288399362859653,0
"480",0,0,NA
"481",0.00382969299935149,0,Inf
"482",0,0.0460826384585464,0
"483",0,0,NA
"484",0,0,NA
"485",0,0,NA
"486",0,0,NA
"487",0.0290843962417234,-2.29297805661961e-05,-1268.41145111527
"488",0,0,NA
"489",0,0,NA
"490",0,0,NA
"491",0,0.00888786289665679,0
"492",0.00909115954159527,0,Inf
"493",0.0178365082875254,0.0479948083640701,0.371634118261804
"494",0.0073592723063628,0.0188761653959554,0.389871149780223
"495",0,0,NA
"496",0.00869587135593462,0,Inf
"497",0,0,NA
"498",0,0.0156300892453335,0
"499",0,0,NA
"500",0,0,NA
"501",0,0.0065287262547293,0
"502",0,0,NA
"503",0.00717160876378419,0.0542325013569149,0.132238207428169
"504",0.00366499565900995,-2.52763887301548e-05,-144.996807025586
"505",0,0.0177388180882599,0
"506",0,0.00484656908950833,0
"507",0.0301655083620883,-1.76121001178715e-05,-1712.77179667395
"508",0,0,NA
"509",0,0,NA
"510",0,0.0199629706510357,0
"511",0.00549124328710514,0,Inf
"512",0,0,NA
"513",0,0,NA
"514",0.00671151016607039,0,Inf
"515",0,0,NA
"516",0,0,NA
"517",0,0,NA
"518",0.00852899145228828,0,Inf
"519",0.00908214405407499,0,Inf
"520",0.00401914832425143,-1.57843378290389e-06,-2546.288838837
"521",0,0,NA
"522",0,0,NA
"523",0.013998510951459,0.0116458586549075,1.20201621591553
"524",0.0182764115145429,-0.000227104543191671,-80.4757635302701
"525",0.0129877432016304,0.0441971616974151,0.293859214094962
"526",0,0,NA
"527",0,0,NA
"528",0,0,NA
"529",0.0191106064100988,0,Inf
"530",0,0,NA
"531",0,0,NA
"532",0,0.0190213718066519,0
"533",0.0303553187180112,0.0464715399449142,0.653202341777212
"534",0.00566213572583364,0.0875767906244335,0.0646533823112482
"535",0.00965688738094113,0.00623153962124315,1.54967920736973
"536",0.00490503233912334,0.0176268948596747,0.278269790463472
"537",0,0,NA
"538",0.00796109250512778,0,Inf
"539",0,0,NA
"540",0,0.0365533558933604,0
"541",0.00751138633068027,0.00829055725191313,0.906017062839406
"542",0.00974408496607211,0.0121303794905811,0.803279483023439
"543",0,0.0169246562884844,0
"544",0.0046729312091188,0,Inf
"545",0,0,NA
"546",0.00295858851404426,0.00553670147660587,0.534359406326155
"547",0,0,NA
"548",0,0.0404645748828499,0
"549",0,0,NA
"550",0,0.00522501087555892,0
"551",0,0,NA
"552",0,0,NA
"553",0,0,NA
"554",0,0.00877672994050282,0
"555",0,0,NA
"556",0.00452196782422452,0.0108525109856312,0.416674798137652
"557",0.00496504302476736,0.0158076904503724,0.314090349906263
"558",0,0,NA
"559",0.0154452435096693,0.0141164185374847,1.09413329370024
"560",0.0289529579187352,-0.00024326042237483,-119.020421144064
"561",0,0.023883552610189,0
"562",0,0,NA
"563",0,0.0111829480717234,0
"564",0,0,NA
"565",0.0216893704140646,0.0125991408305222,1.721495989752
"566",0,0,NA
"567",0,0.0205527592005477,0
"568",0.00762703174794644,0,Inf
"569",0.00459509756483293,0,Inf
"570",0.00204661126190149,0.0194186557469398,0.105394075088025
"571",0,0,NA
"572",0,0,NA
"573",0,0,NA
"574",0,0.0636947004434646,0
"575",0,0.0182097601613996,0
"576",0,0,NA
"577",0,0,NA
"578",0,0,NA
"579",0.00657904228875549,0,Inf
"580",0,0,NA
"581",0,0.0137912143649511,0
"582",0.00626505226834709,-7.84693792170548e-05,-79.8407268014352
"583",0.0036021433560758,0.0129652080766386,0.277831511440709
"584",0.00689052943380158,0,Inf
"585",0.0378045755920433,0,Inf
"586",0,0.0181656061479011,0
"587",0.00943424215219137,0,Inf
"588",0,0.0277073157871675,0
"589",0,0.0262305908424505,0
"590",0.0157229365919088,0,Inf
"591",0.00473937197727187,0,Inf
"592",0.00366848585610867,0.0273038052709521,0.134358043492622
"593",0,0,NA
"594",0,0.0585915575225343,0
"595",0,0.0465115916716844,0
"596",0,0,NA
"597",0,0.0122666048873532,0
"598",0,0.0103682317549593,0
"599",0,0.0122294905254195,0
"600",0,0,NA
"601",0,0.00608277388294753,0
"602",0,0.0174280534869221,0
"603",0,0.012652580611611,0
"604",0,0.0111471259736933,0
"605",0.0204109972601276,0,Inf
"606",0.00285623497942092,0.00739229009166181,0.386380261597504
"607",0.0103794787202731,-4.79168273429302e-06,-2166.14481714106
"608",0.00157948329482704,0.0182246692442975,0.0866673229376306
"609",0.0190562705735702,-1.93064542855508e-05,-987.041446954463
"610",0.00386102304695516,0,Inf
"611",0,0,NA
"612",0.0037313606007948,0.026102047851436,0.142952791368418
"613",0.0061350462959072,0,Inf
"614",0.00712406866493757,-0.000107816134257455,-66.0760906890421
"615",0,0,NA
"616",0,0.0155763976721818,0
"617",0.00191892287060574,0.00893388535174891,0.214791526312802
"618",0.00932511845395417,0.00580487063787745,1.60643001983657
"619",0,0,NA
"620",0.042193159032539,0.0369606862294097,1.14156860537307
"621",0.00424384525304936,0.0121218877382923,0.350097719486653
"622",0.013423625018094,0.0123009766483605,1.09126497853186
"623",0,0,NA
"624",0.0153858293333768,0,Inf
"625",0.00970904302281925,0.0170863952743957,0.568232378269303
"626",0,0.0140020942937987,0
"627",0,0,NA
"628",0,0.0569681932852746,0
"629",0.00401608584863213,0.00794128521494307,0.505722403859149
"630",0,0.0238178443814781,0
"631",0,0,NA
"632",0,0,NA
"633",0,0.0220600169898852,0
"634",0.0369894733842917,-0.000334871460882069,-110.458721345974
"635",0,0.0485550145619739,0
"636",0,0.0164268741635599,0
"637",0.0050000416672917,0.0206280938511168,0.242389902982771
"638",0,0,NA
"639",0,0,NA
"640",0.00655747103891397,0,Inf
"641",0,0.0311725635222477,0
"642",0.01108428072189,0.0146818690261836,0.754963874294366
"643",0.0143715863700102,-3.0682476812117e-05,-468.397204632926
"644",0.0131290379118434,0.0133132230102385,0.986165251024986
"645",0,0.0401281307401913,0
"646",0,0,NA
"647",0,0,NA
"648",0.00425960080360601,0.0302161397944167,0.140971045030481
"649",0.00773776573329196,0.00502938523401651,1.53851124406959
"650",0.0042826814294615,0.00848336439297264,0.504832897783943
"651",0,0,NA
"652",0.0132458077234881,0,Inf
"653",0,0,NA
"654",0.00418158141386804,0,Inf
"655",0,0.0133846567646674,0
"656",0,0.0271369229524667,0
"657",0.00829894570451892,0.0123602321582902,0.671423125248719
"658",0,0.0145029401464977,0
"659",0,0.00372743677445009,0
"660",0,0,NA
"661",0.00451230261764224,0,Inf
"662",0.00947354438716641,-0.000200698700416506,-47.2028187900876
"663",0,0,NA
"664",0,0,NA
"665",0.0093607162006517,0.0400939647370628,0.233469457611377
"666",0,0.03485298364461,0
"667",0.00401397335712605,0,Inf
"668",0,0,NA
"669",0.00219013515764423,0.024683136494568,0.0887300184936467
"670",0.00294008651511327,0,Inf
"671",0,0,NA
"672",0.00772772385709264,0.0152060080740766,0.508202009327284
"673",0,0.0233316592892402,0
"674",0,0,NA
"675",0.00486317899065553,0,Inf
"676",0,0,NA
"677",0,0,NA
"678",0,0.0166551022290506,0
"679",0,0.0603824166560602,0
"680",0,0.0262404882292257,0
"681",0.00657904228875549,0,Inf
"682",0.0024154636348328,0.00913324135473745,0.264469484711458
"683",0,0.00897283698883366,0
"684",0,0.0189058326334076,0
"685",0,0.0165813265542581,0
"686",0.00625203569813339,0.0261161029411298,0.239393898554718
"687",0.00418412483525829,0.00767654765793063,0.545052935473628
"688",0,0,NA
"689",0,0.041375782362442,0
"690",0,0,NA
"691",0,0.0119138480299853,0
"692",0,0,NA
"693",0,0.0229169615883413,0
"694",0,0,NA
"695",0,0.0195112066033012,0
"696",0,0.0195262843830995,0
"697",0.00487121518238884,-1.41108852275522e-05,-345.209751467437
"698",0,0,NA
"699",0.00772216121373678,0.028042403739846,0.275374439558625
"700",0.00664606928305708,-1.80235354103943e-05,-368.743930184987
"701",0,0.010157076638834,0
"702",0,0,NA
"703",0,0,NA
"704",0,0.0229714734384315,0
"705",0,0,NA
"706",0.0153268705455012,0,Inf
"707",0,0,NA
"708",0,0.0623868809922116,0
"709",0,0.0527597313780143,0
"710",0,0,NA
"711",0,0,NA
"712",0,0,NA
"713",0.011677813717682,-1.61241110153075e-05,-724.245430126079
"714",0,0,NA
"715",0,0,NA
"716",0,0.0284849769307563,0
"717",0.00272246195819963,0.0253831661533388,0.107254624649791
"718",0,0.0142390780802855,0
"719",0.00452491775995893,0,Inf
"720",0,0.017700963525458,0
"721",0.025245368096437,0.0266118169679476,0.948652552617643
"722",0,0,NA
"723",0.00281640912334392,0.013912837957759,0.202432396028392
"724",0,0,NA
"725",0.0210816230509423,0.015021161028045,1.40346162401044
"726",0,0,NA
"727",0.00327210209105145,0.0254338225308889,0.128651605045901
"728",0,0,NA
"729",0.00117164669898691,0.00647787570091997,0.18086896894618
"730",0,0,NA
"731",0,0.0120946146631059,0
"732",0.00829041546004188,0.00860981649208956,0.9629026899306
"733",0.0115802360722955,0.012072615770998,0.959215160322973
"734",0,0,NA
"735",0,0,NA
"736",0,0,NA
"737",0.0120298783364738,0.0123405971601071,0.97482141102233
"738",0,0.00787575560462445,0
"739",0,0.0138542381321697,0
"740",0,0.0135217688721205,0
"741",0.00428985446281015,0,Inf
"742",0.0103630652585585,0,Inf
"743",0,0.00664844500984184,0
"744",0,0,NA
"745",0,0,NA
"746",0.00925952388361877,0,Inf
"747",0,0,NA
"748",0.0414458936955263,-0.000840698875810288,-49.2993328385025
"749",0.00645134285754215,-5.65267704994158e-06,-1141.28983498338
"750",0,0,NA
"751",0,0.0114211742417159,0
"752",0,0.0426742514022594,0
"753",0,0.0157825521192463,0
"754",0,0,NA
"755",0,0.0129183526962833,0
"756",0,0,NA
"757",0,0.110684452800065,0
"758",0,0.0206589246387895,0
"759",0,0,NA
"760",0,0.0491781291812673,0
"761",0,0,NA
"762",0.00390831388914808,0.027914910897444,0.1400081090535
"763",0,0,NA
"764",0.00900925275133922,0.0159309663912372,0.56551828244988
"765",0,0,NA
"766",0,0,NA
"767",0,0,NA
"768",0,0,NA
"769",0.00585100573948841,0.0424086794741401,0.137967175871539
"770",0.0149264815748406,0,Inf
"771",0,0,NA
"772",0.00912767719084186,-0.000221453806070831,-41.2170707417078
"773",0.0031348065067977,0.0177732608149106,0.176377679900348
"774",0.0074628251083379,0,Inf
"775",0.0145995773461312,0,Inf
"776",0,0.0214464554050677,0
"777",0,0,NA
"778",0,0,NA
"779",0,0.0162339696146521,0
"780",0,0,NA
"781",0,0,NA
"782",0.00657904228875549,0.0127070842381938,0.517746019891864
"783",0.00780441835102995,-4.26337730349952e-06,-1830.57182028525
"784",0,0.00491915658040425,0
"785",0,0,NA
"786",0.00325078750668357,0,Inf
"787",0.00344098344979552,0,Inf
"788",0,0,NA
"789",0,0.032692982792683,0
"790",0.00536198168148782,0.0101506072900431,0.528242451734635
"791",0,0,NA
"792",0,0.0573423866257466,0
"793",0,0,NA
"794",0,0.0138031181898798,0
"795",0,0,NA
"796",0,0.0123179583027612,0
"797",0,0,NA
"798",0,0,NA
